2018-12-23__09:46:02 0.54,0.48,0.44 34.34 41°C normal
2018-12-23__09:46:12 0.46,0.46,0.43 30.68 42°C normal
2018-12-23__09:46:18 0.42,0.46,0.43 26.90 41°C normal
2018-12-23__09:46:26 0.43,0.46,0.43 27.00 41°C normal
2018-12-23__09:46:36 0.45,0.46,0.43 31.52 42°C normal
2018-12-23__09:46:42 0.41,0.45,0.43 74.22 42°C normal
2018-12-23__09:46:48 0.46,0.46,0.43 34.31 43°C normal
2018-12-23__09:46:53 0.42,0.45,0.43 35.35 42°C normal
2018-12-23__09:47:03 0.43,0.45,0.43 28.07 42°C normal
2018-12-23__09:47:13 0.44,0.46,0.43 41.41 42°C normal
2018-12-23__09:47:23 0.52,0.47,0.44 51.02 41°C normal
2018-12-23__09:47:29 0.74,0.52,0.46 27.50 43°C normal
2018-12-23__09:47:37 0.68,0.52,0.45 29.59 42°C normal
2018-12-23__09:47:43 0.62,0.51,0.45 38.26 41°C normal
2018-12-23__09:47:48 0.81,0.55,0.47 32.14 42°C normal
2018-12-23__09:47:54 0.76,0.55,0.47 41.83 41°C normal
2018-12-23__09:48:02 0.70,0.54,0.46 28.28 42°C normal
2018-12-23__09:48:12 0.67,0.54,0.46 29.14 42°C normal
2018-12-23__09:48:22 0.57,0.52,0.46 33.83 42°C normal
2018-12-23__09:48:32 0.48,0.50,0.45 27.27 42°C normal
2018-12-23__09:48:38 0.52,0.51,0.45 29.50 41°C normal
2018-12-23__09:48:44 0.56,0.52,0.46 51.01 42°C normal
2018-12-23__09:48:49 0.47,0.50,0.45 28.06 42°C normal
2018-12-23__09:48:58 0.44,0.49,0.45 27.91 41°C normal
2018-12-23__09:49:08 0.37,0.47,0.44 34.80 42°C normal
2018-12-23__09:49:13 0.34,0.47,0.44 33.66 42°C normal
2018-12-23__09:49:23 0.36,0.47,0.44 30.80 41°C normal
2018-12-23__09:49:33 0.31,0.45,0.44 39.26 41°C normal
2018-12-23__09:49:39 0.28,0.44,0.44 27.31 42°C normal
2018-12-23__09:49:44 0.31,0.45,0.44 29.70 42°C normal
2018-12-23__09:49:50 0.29,0.44,0.43 28.06 42°C normal
2018-12-23__09:49:58 0.26,0.43,0.43 37.87 42°C normal
2018-12-23__09:50:08 0.30,0.43,0.43 38.77 42°C normal
2018-12-23__09:50:18 0.40,0.45,0.44 47.20 42°C normal
2018-12-23__09:50:24 0.42,0.45,0.44 46.19 42°C normal
2018-12-23__09:50:34 0.46,0.46,0.44 43.43 42°C normal
2018-12-23__09:50:39 0.54,0.48,0.45 27.69 43°C normal
2018-12-23__09:50:45 0.50,0.47,0.45 43.14 43°C normal
2018-12-23__09:50:50 0.46,0.46,0.45 30.80 43°C normal
2018-12-23__09:50:59 0.74,0.52,0.47 31.34 42°C normal
2018-12-23__09:51:09 0.70,0.52,0.47 28.42 42°C normal
2018-12-23__09:51:19 0.61,0.51,0.46 28.71 41°C normal
2018-12-23__09:51:29 0.52,0.49,0.46 29.00 41°C normal
2018-12-23__09:51:35 0.56,0.50,0.46 31.95 42°C normal
2018-12-23__09:51:40 0.51,0.49,0.46 43.84 42°C normal
2018-12-23__09:51:49 0.43,0.48,0.45 32.66 41°C normal
2018-12-23__09:51:55 0.40,0.47,0.45 31.79 41°C normal
2018-12-23__09:52:04 0.34,0.45,0.44 31.79 42°C normal
2018-12-23__09:52:10 0.31,0.45,0.44 28.00 41°C normal
2018-12-23__09:52:20 0.26,0.43,0.44 28.35 42°C normal
2018-12-23__09:52:30 0.52,0.48,0.45 32.51 42°C normal
2018-12-23__09:52:35 0.48,0.47,0.45 34.97 42°C normal
2018-12-23__09:52:41 0.44,0.47,0.45 30.76 43°C normal
2018-12-23__09:52:47 0.41,0.46,0.45 31.79 42°C normal
2018-12-23__09:52:55 0.34,0.44,0.44 35.71 42°C normal
2018-12-23__09:53:01 0.32,0.43,0.44 34.02 43°C normal
2018-12-23__09:53:11 0.27,0.42,0.43 41.34 42°C normal
2018-12-23__09:53:16 0.25,0.41,0.43 43.93 42°C normal
2018-12-23__09:53:22 0.23,0.41,0.43 29.20 42°C normal
2018-12-23__09:53:28 0.29,0.42,0.43 34.00 44°C normal
2018-12-23__09:53:33 0.26,0.41,0.43 32.99 43°C normal
2018-12-23__09:53:39 0.32,0.42,0.43 36.68 44°C normal
2018-12-23__09:53:44 0.42,0.44,0.44 34.71 43°C normal
2018-12-23__09:53:51 0.39,0.43,0.44 33.50 43°C normal
2018-12-23__09:53:56 0.36,0.42,0.44 26.86 42°C normal
2018-12-23__09:54:02 0.33,0.41,0.43 27.17 42°C normal
2018-12-23__09:54:08 0.30,0.41,0.43 30.92 43°C normal
2018-12-23__09:54:13 0.28,0.40,0.43 42.26 42°C normal
2018-12-23__09:54:19 0.25,0.39,0.43 37.87 42°C normal
2018-12-23__09:54:25 0.37,0.41,0.43 29.75 42°C normal
2018-12-23__09:54:30 0.42,0.42,0.44 44.89 42°C normal
2018-12-23__09:54:36 0.39,0.42,0.43 42.42 44°C normal
2018-12-23__09:54:46 0.47,0.44,0.44 48.22 44°C normal
2018-12-23__09:54:52 0.68,0.48,0.45 30.04 42°C normal
2018-12-23__09:54:57 0.62,0.47,0.45 33.16 42°C normal
2018-12-23__09:55:03 0.57,0.46,0.45 29.53 42°C normal
2018-12-23__09:55:09 0.53,0.45,0.45 44.32 43°C normal
2018-12-23__09:55:14 0.48,0.45,0.44 26.42 41°C normal
2018-12-23__09:55:20 0.48,0.45,0.45 29.85 43°C normal
2018-12-23__09:55:26 0.44,0.44,0.44 33.50 42°C normal
2018-12-23__09:55:31 0.49,0.45,0.45 35.00 42°C normal
2018-12-23__09:55:37 0.53,0.46,0.45 38.07 43°C normal
2018-12-23__09:55:43 0.49,0.45,0.45 48.76 43°C normal
2018-12-23__09:55:50 0.57,0.47,0.45 51.03 44°C normal
2018-12-23__09:55:56 0.52,0.46,0.45 31.00 42°C normal
2018-12-23__09:56:02 0.48,0.45,0.45 30.00 41°C normal
2018-12-23__09:56:07 0.44,0.45,0.45 50.00 42°C normal
2018-12-23__09:56:13 0.40,0.44,0.44 28.07 42°C normal
2018-12-23__09:56:19 0.37,0.43,0.44 37.37 42°C normal
2018-12-23__09:56:24 0.34,0.42,0.44 45.59 42°C normal
2018-12-23__09:56:30 0.51,0.46,0.45 54.12 42°C normal
2018-12-23__09:56:35 0.47,0.45,0.45 48.27 42°C normal
2018-12-23__09:56:41 0.51,0.46,0.45 26.80 42°C normal
2018-12-23__09:56:47 0.47,0.45,0.45 30.88 41°C normal
2018-12-23__09:56:52 0.51,0.46,0.45 30.96 44°C normal
2018-12-23__09:56:58 0.71,0.50,0.47 30.15 42°C normal
2018-12-23__09:57:04 0.66,0.50,0.46 29.41 41°C normal
2018-12-23__09:57:11 0.63,0.50,0.46 36.13 42°C normal
2018-12-23__09:57:16 0.58,0.49,0.46 54.04 43°C normal
2018-12-23__09:57:22 0.54,0.48,0.46 36.31 43°C normal
