2018-12-22__20:40:20 0.39 54.27 50°C normal
2018-12-22__20:40:25 0.40 53.00 51°C note
2018-12-23__09:50:01 2.13,1.04 47.66 44°C normal
2018-12-23__09:50:11 2.18,1.06 47.20 44°C normal
2018-12-23__09:50:21 2.19,1.08 50.51 44°C normal
2018-12-23__09:50:27 2.25,1.11 44.44 44°C normal
2018-12-23__09:50:32 2.31,1.14 48.22 44°C normal
2018-12-23__09:50:38 2.34,1.15 52.87 44°C normal
2018-12-23__09:50:46 2.35,1.16 46.96 44°C normal
2018-12-23__09:50:56 2.37,1.18 47.73 44°C normal
2018-12-23__09:51:06 2.37,1.20 50.99 44°C normal
2018-12-23__09:51:16 2.38,1.21 47.23 44°C normal
2018-12-23__09:51:22 2.40,1.23 48.46 45°C normal
2018-12-23__09:51:27 2.38,1.23 48.52 44°C normal
2018-12-23__09:51:33 2.40,1.25 48.01 43°C normal
2018-12-23__09:51:41 2.40,1.25 47.66 44°C normal
2018-12-23__09:51:51 2.40,1.26 45.87 44°C normal
2018-12-23__09:51:57 2.47,1.30 44.67 44°C normal
2018-12-23__09:52:06 2.50,1.31 46.70 43°C normal
2018-12-23__09:52:16 2.53,1.34 48.96 43°C normal
2018-12-23__09:52:22 2.58,1.37 46.39 45°C normal
2018-12-23__09:52:27 2.57,1.37 44.67 44°C normal
2018-12-23__09:52:33 2.64,1.40 46.53 43°C normal
2018-12-23__09:52:41 2.65,1.41 46.23 43°C normal
2018-12-23__09:52:51 2.73,1.45 47.44 43°C normal
2018-12-23__09:53:01 2.79,1.48 52.45 43°C normal
2018-12-23__09:53:07 2.86,1.52 47.69 43°C normal
2018-12-23__09:53:16 2.91,1.54 49.23 45°C normal
2018-12-23__09:53:22 2.88,1.55 48.97 45°C normal
2018-12-23__09:53:28 2.85,1.55 46.63 45°C normal
2018-12-23__09:53:33 2.85,1.55 49.23 45°C normal
2018-12-23__09:53:41 2.86,1.56 48.22 44°C normal
2018-12-23__09:53:47 2.81,1.56 50.00 45°C normal
2018-12-23__09:53:53 2.80,1.56 48.73 44°C normal
2018-12-23__09:53:58 2.80,1.57 52.84 45°C normal
2018-12-23__09:54:04 2.80,1.58 47.20 45°C normal
2018-12-23__09:54:09 2.77,1.58 48.00 44°C normal
2018-12-23__09:54:17 2.80,1.60 46.15 44°C normal
2018-12-23__09:54:22 2.82,1.61 48.46 45°C normal
2018-12-23__09:54:28 2.82,1.62 45.64 44°C normal
2018-12-23__09:54:33 2.81,1.62 44.79 44°C normal
2018-12-23__09:54:39 2.81,1.63 47.44 44°C normal
2018-12-23__09:54:44 2.81,1.64 48.48 44°C normal
2018-12-23__09:54:50 2.83,1.65 49.22 44°C normal
2018-12-23__09:54:55 2.89,1.67 47.91 44°C normal
2018-12-23__09:55:01 2.89,1.68 53.96 45°C normal
2018-12-23__09:55:07 2.86,1.68 49.23 44°C normal
2018-12-23__09:55:13 2.86,1.69 62.62 47°C normal
2018-12-23__09:55:18 2.86,1.70 63.68 48°C normal
2018-12-23__09:55:27 2.85,1.71 66.15 49°C normal
2018-12-23__09:55:33 2.87,1.72 62.69 49°C normal
2018-12-23__09:55:39 2.91,1.74 52.40 50°C normal
2018-12-23__09:55:44 2.91,1.75 56.56 46°C normal
2018-12-23__09:55:50 2.89,1.75 45.36 46°C normal
2018-12-23__09:55:55 2.88,1.75 46.70 45°C normal
2018-12-23__09:56:01 2.88,1.76 48.48 45°C normal
2018-12-23__09:56:06 2.87,1.76 46.93 45°C normal
2018-12-23__09:56:12 2.85,1.77 45.17 44°C normal
2018-12-23__09:56:18 2.82,1.76 50.00 44°C normal
2018-12-23__09:56:23 2.81,1.76 62.12 47°C normal
2018-12-23__09:56:29 2.81,1.77 52.79 46°C normal
2018-12-23__09:56:34 2.80,1.77 46.73 45°C normal
2018-12-23__09:56:40 2.79,1.77 52.87 45°C normal
2018-12-23__09:56:45 2.81,1.78 45.87 45°C normal
2018-12-23__09:56:51 2.79,1.79 44.55 44°C normal
2018-12-23__09:56:56 2.78,1.79 48.71 45°C normal
2018-12-23__09:57:02 2.80,1.81 48.97 44°C normal
2018-12-23__09:57:07 2.81,1.81 44.72 44°C normal
2018-12-23__09:57:13 2.79,1.81 46.15 45°C normal
2018-12-23__09:57:19 2.78,1.82 43.36 44°C normal
2018-12-23__09:57:25 2.80,1.83 46.19 44°C normal
2018-12-23__09:57:34 2.77,1.83 53.02 45°C normal
2018-12-23__09:57:39 2.78,1.84 61.46 46°C normal
2018-12-23__09:57:45 2.75,1.83 43.00 45°C normal
2018-12-23__09:57:50 2.75,1.84 43.93 45°C normal
2018-12-23__09:57:56 2.76,1.84 46.39 45°C normal
2018-12-23__09:58:01 2.73,1.84 47.31 45°C normal
2018-12-23__09:58:07 2.74,1.85 43.87 45°C normal
2018-12-23__09:58:12 2.74,1.86 44.67 45°C normal
2018-12-23__09:58:18 2.75,1.86 43.14 44°C normal
2018-12-23__09:58:24 2.73,1.87 46.23 45°C normal
2018-12-23__09:58:30 2.74,1.87 45.45 45°C normal
2018-12-23__09:58:35 2.74,1.88 47.44 45°C normal
2018-12-23__09:58:41 2.73,1.88 48.22 44°C normal
2018-12-23__09:58:46 2.72,1.88 45.00 44°C normal
2018-12-23__09:58:52 2.73,1.89 45.17 44°C normal
2018-12-23__09:58:57 2.71,1.89 44.94 44°C normal
2018-12-23__09:59:03 2.68,1.89 44.16 44°C normal
2018-12-23__09:59:09 2.72,1.91 43.87 44°C normal
2018-12-23__09:59:15 2.69,1.90 42.92 43°C normal
2018-12-23__09:59:20 2.68,1.90 44.04 43°C normal
2018-12-23__09:59:26 2.70,1.91 44.55 43°C normal
2018-12-23__09:59:31 2.69,1.91 47.00 43°C normal
2018-12-23__09:59:37 2.68,1.91 47.73 43°C normal
2018-12-23__09:59:42 2.71,1.93 44.38 43°C normal
2018-12-23__09:59:48 2.70,1.93 45.87 43°C normal
2018-12-23__09:59:55 2.70,1.94 49.01 43°C normal
2018-12-23__10:00:01 2.71,1.94 45.91 43°C normal
2018-12-23__10:00:06 2.69,1.94 48.48 43°C normal
2018-12-23__10:00:12 2.75,1.97 46.66 43°C normal
2018-12-23__10:00:17 2.76,1.98 43.81 43°C normal
2018-12-23__10:00:23 2.76,1.98 47.47 44°C normal
2018-12-23__10:00:30 2.75,1.98 54.31 47°C normal
2018-12-23__10:00:36 2.74,1.99 45.45 44°C normal
2018-12-23__10:00:41 2.74,1.99 44.10 45°C normal
2018-12-23__10:00:47 2.75,2.00 57.94 43°C normal
2018-12-23__10:00:52 2.75,2.01 41.26 43°C normal
2018-12-23__10:00:58 2.74,2.01 45.36 43°C normal
2018-12-23__10:01:04 2.75,2.01 44.61 43°C normal
2018-12-23__10:01:09 2.75,2.02 46.35 43°C normal
2018-12-23__10:01:15 2.77,2.03 45.50 43°C normal
2018-12-23__10:01:21 2.78,2.03 46.00 44°C normal
2018-12-23__10:01:27 2.75,2.03 43.93 44°C normal
2018-12-23__10:01:32 2.72,2.03 44.16 44°C normal
2018-12-23__10:01:38 2.72,2.03 44.55 44°C normal
2018-12-23__10:01:44 2.70,2.03 45.68 45°C normal
2018-12-23__10:01:49 2.68,2.03 45.17 44°C normal
2018-12-23__10:01:55 2.66,2.02 44.89 44°C normal
2018-12-23__10:02:00 2.64,2.02 45.50 44°C normal
2018-12-23__10:02:06 2.62,2.01 46.23 44°C normal
2018-12-23__10:02:12 2.62,2.02 45.07 43°C normal
2018-12-23__10:02:17 2.70,2.05 45.17 43°C normal
2018-12-23__10:02:23 2.76,2.07 49.23 43°C normal
2018-12-23__10:02:32 2.78,2.09 42.70 43°C normal
2018-12-23__10:02:38 2.75,2.08 45.68 42°C normal
