2018-12-23__10:10:57 /0 3578 00:00:00% a.out%
2018-12-23__10:10:57 /1 9129 00:00:00% cpu.sh%
2018-12-23__10:10:57 /3 7721 00:00:00% a.out%
2018-12-23__10:10:57 TTY PID TIME% CMD%
2018-12-23__10:11:33 /0 3578 00:00:00% a.out%
2018-12-23__10:11:33 /1 11835 00:00:00% mem.sh%
2018-12-23__10:11:33 /3 11820 00:00:00% bash%
2018-12-23__10:11:33 TTY PID TIME% CMD%
2018-12-23__10:12:08 /0 3578 00:00:00% a.out%
2018-12-23__10:12:08 /1 14784 00:00:00% mem.sh%
2018-12-23__10:12:08 /3 7721 00:00:00% a.out%
2018-12-23__10:12:08 TTY PID TIME% CMD%
2018-12-23__10:12:44 /1 17564 00:00:00% mem.sh%
2018-12-23__10:12:44 /3 7721 00:00:00% a.out%
2018-12-23__10:12:44 TTY PID TIME% CMD%
2018-12-23__10:13:19 /1 19504 00:00:00% mem.sh%
2018-12-23__10:13:19 /3 19391 00:00:00% bash%
2018-12-23__10:13:19 TTY PID TIME% CMD%
2018-12-23__10:13:55 /1 21771 00:00:00% mem.sh%
2018-12-23__10:13:55 /3 7721 00:00:00% a.out%
2018-12-23__10:13:55 TTY PID TIME% CMD%
2018-12-23__10:14:30 /1 24064 00:00:00% mem.sh%
2018-12-23__10:14:30 /3 7721 00:00:00% a.out%
2018-12-23__10:14:30 TTY PID TIME% CMD%
2018-12-23__10:15:06 /1 26183 00:00:00% mem.sh%
2018-12-23__10:15:06 /3 26121 00:00:00% bash%
2018-12-23__10:15:06 TTY PID TIME% CMD%
2018-12-23__10:15:41 /0 28431 00:00:00% bash%
2018-12-23__10:15:41 /1 28860 00:00:00% mem.sh%
2018-12-23__10:15:41 /3 7721 00:00:00% a.out%
2018-12-23__10:15:41 TTY PID TIME% CMD%
2018-12-23__10:16:17 /0 26582 00:00:00% a.out%
2018-12-23__10:16:17 /1 31466 00:00:00% cpu.sh%
2018-12-23__10:16:17 /3 31528 00:00:00% bash%
2018-12-23__10:16:17 TTY PID TIME% CMD%
2018-12-23__10:16:53 /0 2095 00:00:00% bash%
2018-12-23__10:16:53 /1 2399 00:00:00% mem.sh%
2018-12-23__10:16:53 /3 1992 00:00:00% bash%
2018-12-23__10:16:53 TTY PID TIME% CMD%
2018-12-23__10:17:28 /0 26582 00:00:00% a.out%
2018-12-23__10:17:28 /1 5360 00:00:00% mem.sh%
2018-12-23__10:17:28 /3 5439 00:00:00% bash%
2018-12-23__10:17:28 TTY PID TIME% CMD%
2018-12-23__10:18:04 /0 8089 00:00:00% bash%
2018-12-23__10:18:04 /3 8008 00:00:00% bash%
2018-12-23__10:18:04 TTY PID TIME% CMD%
2018-12-23__10:18:39 /0 26582 00:00:00% a.out%
2018-12-23__10:18:39 /3 7721 00:00:01% a.out%
2018-12-23__10:18:39 TTY PID TIME% CMD%
2018-12-23__10:19:15 /0 13404 00:00:00% bash%
2018-12-23__10:19:15 /3 13140 00:00:00% bash%
2018-12-23__10:19:15 TTY PID TIME% CMD%
2018-12-23__10:19:50 /0 26582 00:00:00% a.out%
2018-12-23__10:19:50 /3 7721 00:00:01% a.out%
2018-12-23__10:19:50 TTY PID TIME% CMD%
2018-12-23__10:20:25 /0 17917 00:00:00% bash%
2018-12-23__10:20:25 /3 17960 00:00:00% bash%
2018-12-23__10:20:25 TTY PID TIME% CMD%
2018-12-23__10:21:00 /0 26582 00:00:00% a.out%
2018-12-23__10:21:00 /3 7721 00:00:01% a.out%
2018-12-23__10:21:00 TTY PID TIME% CMD%
2018-12-23__10:21:36 /0 22768 00:00:00% bash%
2018-12-23__10:21:36 /3 7721 00:00:01% a.out%
2018-12-23__10:21:36 TTY PID TIME% CMD%
2018-12-23__10:22:11 /0 26582 00:00:00% a.out%
2018-12-23__10:22:11 /3 24812 00:00:00% bash%
2018-12-23__10:22:11 TTY PID TIME% CMD%
2018-12-23__10:22:47 /0 26582 00:00:00% a.out%
2018-12-23__10:22:47 /3 7721 00:00:01% a.out%
2018-12-23__10:22:47 TTY PID TIME% CMD%
2018-12-23__10:23:22 /0 30033 00:00:00% bash%
2018-12-23__10:23:22 /3 29919 00:00:00% bash%
2018-12-23__10:23:22 TTY PID TIME% CMD%
2018-12-23__10:23:57 /0 26582 00:00:00% a.out%
2018-12-23__10:23:57 /3 7721 00:00:01% a.out%
2018-12-23__10:23:57 TTY PID TIME% CMD%
2018-12-23__10:24:32 /0 26582 00:00:00% a.out%
2018-12-23__10:24:32 /3 2108 00:00:00% bash%
2018-12-23__10:24:32 TTY PID TIME% CMD%
2018-12-23__10:25:07 /0 26582 00:00:00% a.out%
2018-12-23__10:25:07 /3 4680 00:00:00% bash%
2018-12-23__10:25:07 TTY PID TIME% CMD%
2018-12-23__10:25:43 /0 26582 00:00:00% a.out%
2018-12-23__10:25:43 /3 6818 00:00:00% bash%
2018-12-23__10:25:43 TTY PID TIME% CMD%
2018-12-23__10:26:18 /0 26582 00:00:00% a.out%
2018-12-23__10:26:18 /3 8905 00:00:00% bash%
2018-12-23__10:26:18 TTY PID TIME% CMD%
2018-12-23__10:26:53 /0 26582 00:00:00% a.out%
2018-12-23__10:26:53 /3 7721 00:00:01% a.out%
2018-12-23__10:26:53 TTY PID TIME% CMD%
2018-12-23__10:27:29 /0 26582 00:00:00% a.out%
2018-12-23__10:27:29 /3 13953 00:00:00% bash%
2018-12-23__10:27:29 TTY PID TIME% CMD%
2018-12-23__10:28:04 /0 16331 00:00:00% bash%
2018-12-23__10:28:04 /3 7721 00:00:01% a.out%
2018-12-23__10:28:04 TTY PID TIME% CMD%
2018-12-23__10:28:39 /0 26582 00:00:00% a.out%
2018-12-23__10:28:39 /3 18759 00:00:00% bash%
2018-12-23__10:28:39 TTY PID TIME% CMD%
2018-12-23__10:29:15 /0 20975 00:00:00% bash%
2018-12-23__10:29:15 /3 7721 00:00:01% a.out%
2018-12-23__10:29:15 TTY PID TIME% CMD%
2018-12-23__10:29:50 /3 23210 00:00:00% bash%
2018-12-23__10:29:50 TTY PID TIME% CMD%
